usuarioId,filmeId,nota
1,2529,5.0
1,1552,4.0
1,223,3.0
1,2692,5.0
1,4006,4.0
1,780,3.0
1,2797,4.0
1,3441,5.0
1,1625,5.0
1,1032,5.0
1,2193,4.0
1,2947,5.0
1,2450,4.0
1,5060,5.0
1,2427,5.0
1,3527,4.0
1,6,4.0
1,553,5.0
1,1240,5.0
1,333,5.0
1,1804,5.0
1,2093,3.0
1,2478,4.0
1,596,5.0
1,2116,5.0
1,919,5.0
1,3809,4.0
1,590,4.0
1,1224,5.0
1,423,3.0
1,3386,5.0
1,457,5.0
1,2858,5.0
1,1927,5.0
1,231,5.0
1,500,3.0
1,2353,5.0
1,3450,5.0
1,1256,5.0
1,316,3.0
1,2616,4.0
1,3489,4.0
1,1214,4.0
1,1396,3.0
1,1089,5.0
1,1127,4.0
1,2253,2.0
1,3062,4.0
1,163,5.0
1,954,5.0
1,1220,5.0
1,2991,5.0
1,2644,4.0
1,804,4.0
1,1620,4.0
1,2139,5.0
1,1445,3.0
1,3247,3.0
1,733,4.0
1,50,5.0
1,260,5.0
1,3703,5.0
1,2174,4.0
1,3439,4.0
1,1348,4.0
1,1042,4.0
1,2141,5.0
1,2542,5.0
1,3168,4.0
1,648,3.0
1,349,4.0
1,1732,5.0
1,1275,5.0
1,157,5.0
1,3053,5.0
1,1500,4.0
1,3273,5.0
1,1080,5.0
1,2761,5.0
1,1282,5.0
1,3617,4.0
1,608,5.0
1,1954,5.0
1,1298,5.0
1,2406,4.0
1,2000,4.0
1,2012,4.0
1,2899,5.0
1,2018,5.0
1,1226,5.0
1,1517,5.0
1,2329,5.0
1,3578,5.0
1,2997,4.0
1,940,5.0
1,2395,5.0
1,2094,5.0
1,2826,4.0
1,1265,4.0
1,2571,5.0
1,1219,2.0
1,2993,5.0
1,2700,5.0
1,2046,4.0
1,296,3.0
1,2273,4.0
1,2090,5.0
1,1805,4.0
1,1793,4.0
1,1030,3.0
1,1222,5.0
1,2366,4.0
1,1213,5.0
1,1270,5.0
1,2641,5.0
1,2944,5.0
2,86345,4.0
2,99114,3.5
2,8798,3.5
2,131724,5.0
2,109487,3.0
2,89774,5.0
2,46970,4.0
2,60756,5.0
2,1704,4.5
2,58559,4.5
2,80489,4.5
2,3578,4.0
2,106782,5.0
2,48516,4.0
3,914,0.5
3,5181,5.0
3,849,5.0
3,527,0.5
3,6835,5.0
3,70946,5.0
3,1587,4.5
3,5764,4.5
3,26409,4.5
3,647,0.5
3,2080,0.5
3,3949,0.5
3,2018,0.5
3,2090,0.5
3,688,0.5
3,3210,0.5
3,1124,0.5
3,6238,0.5
3,2105,2.0
3,720,0.5
4,475,5.0
4,919,5.0
4,2406,4.0
4,2874,4.0
4,4902,4.0
4,1196,5.0
4,176,5.0
4,2150,5.0
4,1080,5.0
4,2076,4.0
4,342,5.0
4,4347,4.0
4,4014,1.0
4,930,5.0
4,3160,4.0
4,1225,4.0
4,190,2.0
4,2145,3.0
4,45,3.0
4,902,4.0
4,4021,4.0
4,247,3.0
4,937,3.0
4,3175,1.0
4,1086,5.0
4,539,1.0
4,162,5.0
4,215,5.0
4,2599,5.0
4,1219,4.0
4,2843,5.0
4,1079,2.0
4,3033,4.0
4,4896,4.0
4,4226,2.0
4,2997,4.0
4,457,5.0
4,2203,4.0
4,1265,4.0
4,3967,4.0
4,1500,4.0
4,2763,1.0
4,351,3.0
4,914,5.0
4,759,3.0
4,3255,4.0
4,1580,3.0
4,2926,5.0
4,2395,3.0
4,1259,4.0
4,319,5.0
4,1923,3.0
4,509,1.0
4,1188,5.0
4,1057,3.0
4,1517,4.0
4,2351,4.0
4,1907,3.0
4,171,3.0
4,4034,5.0
4,265,5.0
4,4074,3.0
4,608,5.0
4,1203,5.0
4,898,5.0
4,2921,4.0
4,1046,5.0
4,4260,2.0
4,3079,3.0
4,908,5.0
4,4765,5.0
4,4246,4.0
4,52,3.0
4,1885,3.0
4,2583,5.0
4,1968,4.0
4,1279,2.0
4,417,2.0
4,4239,5.0
4,3911,3.0
4,3538,2.0
4,2467,4.0
4,4381,3.0
4,357,3.0
4,4020,3.0
4,1391,1.0
4,296,1.0
4,3489,1.0
4,538,5.0
4,4741,3.0
4,595,3.0
4,1914,4.0
4,899,4.0
4,2628,1.0
4,1211,1.0
4,2791,5.0
4,1025,4.0
4,3809,3.0
4,3996,4.0
4,3044,5.0
4,3508,5.0
4,2973,2.0
4,1719,4.0
4,4641,1.0
4,4002,3.0
4,1291,4.0
4,1198,3.0
4,235,2.0
5,596,5.0
5,247,5.0
5,349,3.0
5,588,4.0
5,531,4.0
5,527,5.0
5,597,3.0
5,367,4.0
5,457,4.0
5,1,4.0
5,316,2.0
5,515,3.0
5,475,5.0
5,595,5.0
5,357,2.0
5,58,5.0
5,261,4.0
5,110,4.0
5,36,4.0
5,39,3.0
5,589,3.0
5,318,3.0
6,336,3.0
6,830,5.0
6,891,3.0
6,153,3.0
6,327,1.0
6,434,4.0
6,65,3.0
6,357,3.0
6,3,5.0
6,304,4.0
6,508,4.0
6,76,4.0
6,333,5.0
6,330,3.0
6,1004,4.0
6,66,3.0
6,207,4.0
6,364,5.0
6,410,3.0
6,105,3.0
6,218,2.0
6,337,5.0
6,217,3.0
6,497,3.0
6,347,3.0
6,160,5.0
6,89,4.0
6,31,3.0
6,532,3.0
6,195,4.0
6,548,3.0
6,62,4.0
6,315,4.0
6,170,3.0
6,21,2.0
6,92,4.0
6,276,4.0
6,432,5.0
6,494,3.0
6,209,3.0
6,50,1.0
6,640,1.0
6,799,3.0
6,317,4.0
6,32,4.0
6,163,3.0
6,174,3.0
6,881,3.0
6,888,3.0
6,146,4.0
6,252,4.0
6,542,4.0
6,366,3.0
6,765,3.0
6,253,3.0
6,747,3.0
6,34,4.0
6,536,3.0
6,458,3.0
6,477,4.0
6,367,4.0
6,270,3.0
6,711,4.0
6,19,2.0
6,261,4.0
6,36,5.0
6,310,3.0
6,637,4.0
6,251,3.0
6,46,4.0
6,590,5.0
6,1064,4.0
6,15,4.0
6,234,2.0
6,991,4.0
6,161,3.0
6,981,3.0
6,342,3.0
6,177,3.0
6,210,4.0
6,8,3.0
6,354,4.0
6,524,3.0
6,313,3.0
6,867,3.0
6,802,4.0
6,208,3.0
6,201,3.0
6,225,4.0
6,510,3.0
6,141,4.0
6,593,4.0
6,204,3.0
6,350,5.0
6,205,3.0
6,258,3.0
6,224,3.0
6,316,5.0
6,474,4.0
6,314,5.0
6,230,5.0
6,2,4.0
6,595,5.0
6,179,1.0
6,426,3.0
6,880,3.0
6,709,5.0
6,490,3.0
6,460,3.0
6,332,3.0
6,647,4.0
6,801,3.0
6,489,3.0
6,500,5.0
6,440,4.0
6,145,4.0
6,181,3.0
6,795,3.0
6,359,3.0
6,196,3.0
6,312,1.0
6,25,3.0
6,140,3.0
6,552,3.0
6,236,4.0
6,631,4.0
6,135,3.0
6,848,4.0
6,265,3.0
6,835,4.0
6,505,3.0
6,27,3.0
6,159,3.0
6,231,3.0
6,100,3.0
6,45,3.0
6,569,4.0
6,5,5.0
6,266,3.0
6,553,5.0
6,543,3.0
6,281,4.0
6,472,3.0
6,1073,3.0
6,520,3.0
6,986,4.0
6,818,3.0
6,340,4.0
6,362,3.0
6,592,3.0
6,516,4.0
6,405,3.0
6,1042,3.0
6,158,4.0
6,267,3.0
6,662,3.0
6,575,3.0
7,4995,4.5
7,4874,3.0
7,587,2.0
7,6539,4.5
7,8870,3.5
7,4306,4.0
7,8528,4.5
7,1196,4.0
7,8865,1.0
7,5618,5.0
7,595,3.5
7,6365,4.0
7,2701,1.5
7,6534,0.5
7,30816,2.0
7,3408,4.5
7,648,4.0
7,38388,3.5
7,46530,1.0
7,2353,3.5
7,5989,4.0
7,588,3.0
7,4310,0.5
7,466,5.0
7,32587,3.5
7,2640,3.0
7,8636,4.5
7,49272,4.5
7,8972,2.5
7,32031,1.5
7,7445,4.0
7,42002,4.5
7,8984,4.0
7,1,4.5
7,780,4.5
7,4886,4.0
