usuarioId,filmeId,nota
1,2253,2.0
1,1473,4.0
1,2078,5.0
1,3489,4.0
1,3034,5.0
1,3052,5.0
1,1265,4.0
1,3033,5.0
1,457,5.0
1,231,5.0
1,2542,5.0
1,2640,4.0
1,1573,5.0
1,3702,5.0
1,2093,3.0
1,296,3.0
1,1298,5.0
1,2459,5.0
1,2139,5.0
1,356,4.0
1,2997,4.0
1,3578,5.0
1,2143,4.0
1,1920,4.0
1,673,3.0
1,2872,5.0
1,367,4.0
1,2137,5.0
1,2528,3.0
1,590,4.0
1,1517,5.0
1,2018,5.0
1,2005,5.0
1,2948,5.0
1,736,3.0
1,316,3.0
1,1198,5.0
1,2700,5.0
1,2046,4.0
1,2761,5.0
1,3450,5.0
1,1032,5.0
1,2058,5.0
1,2161,5.0
1,592,4.0
1,1092,5.0
1,2141,5.0
1,1500,4.0
1,1625,5.0
1,3386,5.0
1,2174,4.0
1,2716,5.0
1,1030,3.0
1,2000,4.0
1,2985,4.0
1,3671,5.0
1,223,3.0
1,2329,5.0
1,50,5.0
1,2648,4.0
1,543,4.0
1,1213,5.0
1,47,5.0
1,2654,5.0
1,1954,5.0
1,3147,5.0
1,70,3.0
1,1029,5.0
1,2899,5.0
1,1620,4.0
2,60756,5.0
2,48516,4.0
2,71535,3.0
2,91529,3.5
2,77455,3.0
2,80489,4.5
2,131724,5.0
2,46970,4.0
2,114060,2.0
3,527,0.5
3,7899,4.5
3,914,0.5
3,3024,4.5
3,31,0.5
3,2090,0.5
3,7991,5.0
3,1093,0.5
3,26409,4.5
3,5764,4.5
3,3949,0.5
3,3703,5.0
4,4033,4.0
4,648,3.0
4,1213,4.0
4,2336,2.0
4,1211,1.0
4,1282,5.0
4,3044,5.0
4,21,3.0
4,1279,2.0
4,1094,3.0
4,3176,4.0
4,3911,3.0
4,892,4.0
4,2359,4.0
4,2351,4.0
4,4902,4.0
4,58,3.0
4,4166,3.0
4,2791,5.0
4,1080,5.0
4,4029,3.0
4,2150,5.0
4,2926,5.0
4,899,4.0
4,4260,2.0
4,1968,4.0
4,2390,5.0
4,4027,3.0
4,125,5.0
4,1466,4.0
4,1885,3.0
4,1196,5.0
4,1733,5.0
4,3386,4.0
4,1183,1.0
4,4002,3.0
4,45,3.0
4,2145,3.0
4,930,5.0
4,126,1.0
4,539,1.0
4,2174,5.0
4,2076,4.0
4,1288,4.0
4,3481,2.0
4,2763,1.0
4,1580,3.0
4,232,5.0
4,3083,5.0
4,492,5.0
4,599,2.0
4,4896,4.0
4,1046,5.0
4,759,3.0
4,608,5.0
4,4021,4.0
4,441,1.0
4,2959,2.0
4,1283,5.0
4,106,4.0
4,1198,3.0
4,3160,4.0
4,2395,3.0
